Latitude,Longtitude
47.64938723,-122.3859737
47.67511789,-122.3233991
47.66638407,-122.2995522
47.64292734,-122.3848648
47.58024753,-122.3147187
47.66219308,-122.3661953
47.60878866,-122.3384495
47.5783244,-122.3866598
47.68052695,-122.3553091
47.52102758,-122.367312
47.69756434,-122.3048908
47.69761617,-122.3120778
47.61468385,-122.316845
47.61465549,-122.3207895
47.66247336,-122.3207201
47.5859559,-122.3159768
47.56132149,-122.3394391
47.61932364,-122.3208637
47.61156267,-122.3167789
47.54294056,-122.322909
47.66218058,-122.3131157
47.62394954,-122.3619389
47.57140627,-122.3320067
47.70233163,-122.3345243
47.60188591,-122.3305103
47.61859552,-122.3537511
47.6308944,-122.3618048
47.61221899,-122.3088636
47.71354798,-122.3448343
47.55638651,-122.3147834
47.57999734,-122.3048946
47.60709807,-122.3089363
47.5565447,-122.381494
47.57876794,-122.3299887
47.60512615,-122.3304938
47.65912603,-122.3456394
47.61044597,-122.3361287
47.51654951,-122.3780953
47.58323011,-122.3838211
47.60291195,-122.3346078
47.6185566,-122.3436501
47.60169935,-122.3201595
47.66007201,-122.3456281
47.67889074,-122.2622281
47.66365981,-122.3721802
47.61760538,-122.3162386
47.55049818,-122.2875865
47.61018167,-122.3351198
47.60478099,-122.3194119
47.72503555,-122.3449968
47.65137209,-122.3875585
47.7086028,-122.3246152
47.59835127,-122.3247315
47.59750785,-122.3220524
47.68015558,-122.3246114
47.70400593,-122.3168776
47.55286188,-122.3722737
47.66504444,-122.3721785
47.61704694,-122.3244959
47.58435803,-122.2990223
47.60960404,-122.3292211
47.52516304,-122.3550803
47.5516102,-122.2881116
47.54195105,-122.3765098
47.70599117,-122.3554597
47.6004741,-122.3328781
47.6161341,-122.3501864
47.52193839,-122.3645424
47.54625,-122.3261532
47.5165395,-122.2851202
47.59828697,-122.3309763
47.63595428,-122.3663399
47.62460516,-122.3625869
47.66329603,-122.3686056
47.67497945,-122.3165105
47.61764399,-122.3037534
47.61597109,-122.3528875
47.51258367,-122.2647236
47.64217288,-122.3983095
47.64176879,-122.346255
47.5360414,-122.3612977
47.61588661,-122.337879
47.61393023,-122.3278046
47.60218964,-122.3167819
47.62107587,-122.3208917
47.62642066,-122.3308441
47.59709367,-122.3250637
47.55200342,-122.379319
47.62454524,-122.3364793
47.57019913,-122.2807309
47.61090902,-122.3350179
47.60241242,-122.3310822
47.57927478,-122.3775425
47.65046915,-122.3544837
47.5992282,-122.3109248
47.60872352,-122.3406309
47.59678343,-122.3332682
47.61236106,-122.3179139
47.64004087,-122.4009926
47.56929162,-122.376135
47.70266813,-122.3204373
47.64650426,-122.3251984
47.65001037,-122.3497912
47.66867356,-122.3888607
47.59076389,-122.3172804
47.62758727,-122.3449377
47.5985085,-122.286922
47.61264032,-122.3243206
47.62500382,-122.3514838
47.60882096,-122.3400134
47.65982286,-122.3154809
47.56935997,-122.3921082
47.60951744,-122.3383483
47.69906761,-122.3419277
47.68253569,-122.3007449
47.65980204,-122.3137464
47.66221425,-122.3184088
47.72323367,-122.3555467
47.66595739,-122.3826663
47.61097516,-122.3381467
47.61730887,-122.3531686
47.67032171,-122.2908224
47.56558373,-122.3774476
47.56473744,-122.3874491
47.61669063,-122.3461706
47.56742553,-122.3774455
47.61588924,-122.300082
47.66129873,-122.3176382
47.61523114,-122.3234155
47.61628073,-122.3335771
47.64254854,-122.3555535
47.54761638,-122.3343147
47.68592294,-122.3269746
47.65912662,-122.3466944
47.72323212,-122.3548662
47.57215315,-122.3770917
47.63239628,-122.2826873
47.66292138,-122.365097
47.62586164,-122.3638837
47.65832864,-122.3143633
47.6158847,-122.3329419
47.65604983,-122.3544666
47.5925535,-122.3062415
47.54098986,-122.3549567
47.57291861,-122.2940056
47.59748648,-122.3102781
47.51343904,-122.2524097
47.66867758,-122.3839286
47.55749757,-122.386883
47.63955855,-122.309874
47.71513112,-122.3125337
47.58843686,-122.3159813
47.61570317,-122.3088448
47.55484507,-122.266995
47.58501972,-122.3032572
47.65905498,-122.3131878
47.56811919,-122.313451
47.51827906,-122.3578464
47.62370445,-122.3230489
47.66138576,-122.3356833
47.53973286,-122.3003637
47.53704231,-122.2812932
47.65849092,-122.3208416
47.67539722,-122.3156579
47.70858578,-122.3219184
47.69602207,-122.35334
47.64777379,-122.3560916
47.59961646,-122.3289663
47.59857935,-122.3022315
47.61927445,-122.3248291
47.62673542,-122.3619148
47.68674595,-122.3189025
47.58197915,-122.3081812
47.61873646,-122.3215206
47.61097885,-122.3167791
47.56385064,-122.3881276
47.65916004,-122.2887605
47.69781254,-122.3459555
47.63534741,-122.3663486
47.52378257,-122.3577856
47.63292033,-122.3676298
47.61790609,-122.3521914
47.66138572,-122.3399095
47.6145776,-122.3279154
47.56951609,-122.3135972
47.61522861,-122.3227727
47.66338968,-122.3796421
47.65462125,-122.3278911
47.6258506,-122.361267
47.64074809,-122.3539811
47.6477706,-122.3539097
47.69326938,-122.3424022
47.67729636,-122.318739
47.61836608,-122.3529693
47.66701275,-122.4093123
47.5191963,-122.3568112
47.6718745,-122.3577185
47.68413737,-122.3778601
47.56347818,-122.362401
47.60736381,-122.3402161
47.67669047,-122.2916538
47.66399625,-122.313088
47.61605329,-122.3361655
47.61991247,-122.3202061
47.66053224,-122.313149
47.71951899,-122.3282325
47.60588517,-122.3167806
47.72867309,-122.3430093
47.54977227,-122.2888877
47.52011424,-122.3564799
47.66365748,-122.3704948
47.56888116,-122.289922
47.6807958,-122.3060463
47.54328358,-122.3965314
47.61064592,-122.3340104
47.66332336,-122.2984112
47.60865749,-122.3207558
47.54264886,-122.2952861
47.60925299,-122.3373388
47.52102254,-122.365221
47.59824021,-122.3359062
47.53698054,-122.268774
47.54566315,-122.2833369
47.56380429,-122.3293685
47.61132124,-122.3373204
47.65123952,-122.3846743
47.70584423,-122.3198893
47.56019555,-122.3854835
47.63103937,-122.3919708
47.54970394,-122.2771346
47.61581931,-122.3208079
47.6204918,-122.3208823
47.61210339,-122.3338081
47.58025306,-122.3160234
47.6067848,-122.3312436
47.63347746,-122.3459424
47.52011422,-122.3551346
47.58096437,-122.2929986
47.64939241,-122.3833615
47.61205117,-122.3245498
47.72919593,-122.3254227
47.6841481,-122.3767833
47.62137823,-122.3030405
47.63272539,-122.3459505
47.56203576,-122.3781123
47.71307948,-122.3139966
47.65296539,-122.3576617
47.63577659,-122.2820052
47.67668862,-122.294063
47.61375921,-122.3471636
47.62034258,-122.3528255
47.52555707,-122.3467407
47.54750296,-122.3214389
47.66646689,-122.3847501
47.52937273,-122.3766374
47.61239802,-122.3408925
47.66311774,-122.3174234
47.6168222,-122.3374648
47.59178012,-122.3012912
47.62208691,-122.350854
47.68170464,-122.2883985
47.67133528,-122.4094926
47.60898867,-122.3363299
47.70598736,-122.3541203
47.57449356,-122.2898776
47.64970651,-122.3505254
47.6656842,-122.3163247
47.54889699,-122.2862645
47.62262048,-122.3371469
47.6487836,-122.3234362
47.67043066,-122.4088966
47.61351951,-122.3207714
47.52005209,-122.3454377
47.57075994,-122.2910103
47.60166172,-122.2994442
47.52730949,-122.2707425
47.62024125,-122.3317002
47.69764538,-122.3162055
47.52677099,-122.2628308
47.54382608,-122.2726362
47.63246376,-122.3758341
47.63225641,-122.3249561
47.60620305,-122.3167805
47.61521815,-122.3268042
47.64537245,-122.3622014
47.65415054,-122.3576581
47.66692039,-122.3608013
47.60779562,-122.3375411
47.6170232,-122.3457412
47.65307548,-122.3453389
47.62797487,-122.3668646
47.57303502,-122.2872107
47.60130116,-122.3328752
47.67599329,-122.362187
47.60620026,-122.3161256
47.54993361,-122.3099021
47.61120737,-122.337592
47.62586184,-122.3501711
47.56834147,-122.3667554
47.61470458,-122.3447935
47.61027832,-122.3398125
47.60169337,-122.3167819
47.5406801,-122.2759654
47.67495519,-122.3484753
47.61222186,-122.3445627
47.61523808,-122.3204074
47.57259101,-122.3856707
47.62320194,-122.3364902
47.66222203,-122.3195608
47.65649926,-122.3623432
47.59515308,-122.3096689
47.57742324,-122.3067071
47.6303008,-122.3288806
47.65135709,-122.3948967
47.73322211,-122.3530316
47.65977588,-122.4003494
47.59626534,-122.3192204
47.69061787,-122.3593147
47.62079119,-122.3024904
47.61522188,-122.3250007
47.66055372,-122.3154617
47.55409938,-122.2669928
47.61327122,-122.3443534
47.55169177,-122.3256211
